season,week,celebrity_name,fan_votes_mean,fan_votes_std,fan_votes_ci_lower,fan_votes_ci_upper,fan_votes_median
2,1,Tatum O'Neal,8966.248619602286,921.7293065733569,7245.5516510156585,10668.190147342613,8952.0835989798
2,1,Tia Carrere,6088.257729217098,606.3670835091999,4796.622988787306,7255.491093009152,6075.152004029633
2,1,George Hamilton,4970.922942848192,524.9703543008741,3861.5357343626483,6035.63548702582,4969.166448122665
2,1,Lisa Rinna,5034.782336229204,487.4341270036358,4085.6222158604282,6014.639658412574,5030.243169000245
2,1,Stacy Keibler,8017.609372837089,796.9071066070412,6371.918606376204,9471.933696127995,8042.680558743625
2,1,Jerry Rice,7022.653272029711,734.3927432255527,5427.541287858047,8350.173898591209,7040.69245894013
2,1,Giselle Fernandez,9039.108487438632,933.4397499260962,7171.204430283365,10884.29217065174,9078.004541466937
2,1,Master P,4000.345064829695,395.3772147035387,3208.289521308042,4749.553305388166,3996.0025271383674
2,1,Drew Lachey,10046.291237503938,983.9201123191494,8053.9076588211965,11911.201744163982,10052.644091872375
2,1,Kenny Mayne,2000.7197541718365,203.38586115265673,1594.0810754354022,2370.8549313237027,2013.258344612592
2,2,Tatum O'Neal,3016.4026069633524,300.96435098327584,2452.3304101994986,3609.984622922496,3015.8904743321073
2,2,Tia Carrere,4985.753492509264,498.59921711305833,4020.0837376581767,5988.714440091798,4985.136021663555
2,2,George Hamilton,4974.938085092962,489.4692576615775,3948.2562911683362,5943.905456889921,4967.728658181759
2,2,Lisa Rinna,4000.3027448109747,403.8796257943378,3234.9333836983324,4797.244725271492,4007.756621569109
2,2,Stacy Keibler,9034.448640208862,893.6552907447564,7484.756063560861,10952.539508629105,8973.250786518289
2,2,Jerry Rice,7021.574485981796,687.0784953711827,5651.375686334136,8321.262922713295,7028.157723168717
2,2,Giselle Fernandez,7963.315087185891,801.670787515956,6401.1674185900265,9502.658855977412,7967.362268318164
2,2,Master P,4007.7978792109666,402.29061204277815,3236.3931228762444,4769.228077005807,4008.8253284055245
2,2,Drew Lachey,8910.929147479252,916.6456420524484,7285.045592616067,10606.576928758297,8919.157190454222
2,3,Tia Carrere,6037.276956612413,593.9857628531104,4862.2303404638415,7243.611750781889,6034.959908148607
2,3,George Hamilton,4017.119489973979,402.86984459499786,3215.2562455477955,4792.7112357481265,4023.098243463398
2,3,Lisa Rinna,5017.845686224688,490.4397271270286,4065.913716883309,5901.869988868506,5038.983402175396
2,3,Stacy Keibler,8001.191090676539,798.7716926251034,6467.895703193759,9374.007553440058,8026.828122138025
2,3,Jerry Rice,4006.3839187805474,408.06344637878874,3220.917287686167,4816.014285210254,4013.2445431884917
2,3,Giselle Fernandez,1998.6053583042055,194.8591939340923,1608.7267772537396,2372.9547656392097,1999.0150455003763
2,3,Master P,4984.868926724424,462.80116584363714,4037.2533703494987,5864.531889144069,4977.501661577108
2,3,Drew Lachey,8036.290421492612,809.0204386132782,6403.894876808029,9568.964182671067,8089.918881623773
2,4,Tia Carrere,5004.465546142893,469.39912222547804,4053.3734498784884,5891.832840381403,4999.056603391531
2,4,George Hamilton,2993.958284553765,289.9873978004072,2404.108325312893,3569.3809074233154,2994.143051994478
2,4,Lisa Rinna,6005.112525202558,577.7432872511899,4885.971948219431,7116.31598593603,6000.068977596024
2,4,Stacy Keibler,6997.185495669859,669.8037712600222,5740.381474108849,8308.58675121299,6977.3711107410745
2,4,Jerry Rice,3984.022411137884,384.6545127258549,3277.1885517470732,4723.713914305283,3957.0948582372966
2,4,Master P,1997.3256615368425,196.1903673746046,1621.3003576758142,2397.1313810886736,1978.6804537451217
2,4,Drew Lachey,7013.1424042625185,669.2211976986905,5700.662663331625,8252.558977172288,6995.515031903158
2,5,Tia Carrere,1996.616051071465,189.5811812848561,1627.6973904713136,2342.0345212175203,1997.21359646199
2,5,George Hamilton,4014.6174927193606,400.5210458262644,3222.0985239759752,4824.3855738637485,4019.3906714473496
